control_total_return,control_mean_trade_return
-0.5720143802093716,-0.01854683820414543
-0.34334239728938254,-0.008929144745406535
-0.35426210091942634,-0.008947983497681618
-0.36399840551285734,-0.009354006519284036
0.02361548454390139,0.001468046217890171
-0.23709874366615258,-0.00554898995291312
-0.37901884544106523,-0.009463088056078657
0.12509205420328406,0.0036879083523920354
-0.11683949194512333,-0.0021427364059940063
0.029954030151622346,0.002481261553092803
-0.2519746782880443,-0.005818237603529136
-0.27894557248173946,-0.006042124317461233
-0.10106037517928734,-0.0016371821928201809
-0.012261504651532862,0.0008312134359976515
-0.049994319404807364,-0.0004381162770238952
-0.19915357663592004,-0.00411947986947723
-0.35041537553409996,-0.008984822233637946
-0.32713964977117016,-0.008392167472137575
-0.5212209916862401,-0.016221281824244736
-0.15778429580529196,-0.0034559644998120335
-0.059834704810828976,-0.0005100753342036454
-0.2772360639408161,-0.006713301746094982
-0.24664896986602458,-0.005219708242036856
-0.3394178389217538,-0.0085276474596259
0.20132221800396977,0.005299935676502431
-0.205817717348181,-0.004448576901500383
-0.04234646215673343,0.00025244188903924457
0.02033993325806782,0.0019061728100740513
-0.43840910317536586,-0.012273459500714868
0.6770146374977462,0.01467427771502005
0.08738816156542395,0.0031111479906112687
-0.08066255851423187,-0.0006426806247689293
-0.16189005249033517,-0.0031190726309873857
0.08857246561072674,0.0036663264644451296
-0.11605732696541504,-0.0016122691463153654
-0.17323644861739496,-0.0032923336332344325
0.09565436372258729,0.002863515612708608
-0.1721191733037063,-0.0035463496440157043
0.25420610828420487,0.006217942816334137
-0.44133823828029195,-0.011801314438429716
-0.281895190209439,-0.006871183814933061
-0.12130950400866758,-0.001879699887441916
-0.3258167813885573,-0.007974344199694469
-0.09263650593733397,-0.0014572624322030361
-0.1651844033199763,-0.002707561557285299
-0.37416076571474977,-0.009189231417065355
-0.07567831900002031,-0.0008644406716509716
-0.17002257587108371,-0.0030032156733482136
-0.06574132204385963,-0.000576499982328169
-0.17915717458893177,-0.00317671626707539
-0.03410103835176492,0.0007097285771971608
-0.16231734387599128,-0.003537936460469115
-0.29510987268221445,-0.007004381379043509
-0.3014555348588144,-0.0068607920134757545
-0.4586728201878333,-0.013107329051838795
-0.23184790658012544,-0.004992740653636137
-0.05605671491066644,-0.00052644276551535
-0.2192682475400618,-0.0037167275719723995
-0.17140170580838687,-0.0032408502097251326
0.26364021959259265,0.006717907019474982
